"date","deaths"
2016-07-21,-15
2016-07-22,-2
2016-07-23,6
2016-07-24,5
2016-07-25,-1
2016-07-26,-2
2016-07-27,3
2016-07-28,1
2016-07-29,-7
2016-07-30,10
2016-07-31,-8
2016-08-01,3
2016-08-02,-13
2016-08-03,-6
2016-08-04,0
2016-08-05,16
2016-08-06,5
2016-08-07,5
2016-08-08,1
2016-08-09,-36
2016-08-10,-3
2016-08-11,8
2016-08-12,-1
2016-08-13,-7
2016-08-14,19
2016-08-15,-5
2016-08-16,-4
2016-08-17,-6
2016-08-18,9
2016-08-19,16
2016-08-20,-6
2016-08-21,-2
2016-08-22,7
2016-08-23,-4
2016-08-24,0
2016-08-25,4
2016-08-26,1
2016-08-27,-9
2016-08-28,-5
2016-08-29,2
2016-08-30,-3
2016-08-31,-12
2016-09-01,14
2016-09-02,10
2016-09-03,-27
2016-09-04,6
2016-09-05,8
2016-09-06,-11
2016-09-07,4
2016-09-08,-53
2016-09-09,-18
2016-09-10,22
2016-09-11,28
2016-09-12,46
2016-09-13,20
2016-09-14,1
2016-09-15,6
2016-09-16,-10
2016-09-17,-31
2016-09-18,2
2016-09-19,-11
2016-09-20,-3
2016-09-21,9
2016-09-22,-18
2016-09-23,40
2016-09-24,10
2016-09-25,-7
2016-09-26,-40
2016-09-27,-14
2016-09-28,7
2016-09-29,5
2016-09-30,47
2016-10-01,0
2016-10-02,13
2016-10-03,-12
2016-10-04,29
2016-10-05,-33
2016-10-06,-24
2016-10-07,14
2016-10-08,0
2016-10-09,-6
2016-10-10,-1
2016-10-11,18
2016-10-12,-1
2016-10-13,30
2016-10-14,34
2016-10-15,-8
2016-10-16,-10
2016-10-17,5
2016-10-18,0
2016-10-19,5
2016-10-20,37
2016-10-21,10
2016-10-22,23
2016-10-23,53
2016-10-24,-21
2016-10-25,8
2016-10-26,-2
2016-10-27,-35
2016-10-28,-10
2016-10-29,35
2016-10-30,-6
2016-10-31,7
2016-11-01,-36
2016-11-02,-12
2016-11-03,28
2016-11-04,2
2016-11-05,38
2016-11-06,-26
2016-11-07,0
2016-11-08,-13
2016-11-09,1
2016-11-10,-9
2016-11-11,-2
2016-11-12,-1
2016-11-13,-12
2016-11-14,12
2016-11-15,-5
2016-11-16,8
2016-11-17,36
2016-11-18,-4
2016-11-19,10
2016-11-20,-46
2016-11-21,-14
2016-11-22,37
2016-11-23,-22
2016-11-24,24
2016-11-25,-8
2016-11-26,32
2016-11-27,-4
2016-11-28,-37
2016-11-29,-6
2016-11-30,-24
2016-12-01,-23
2016-12-02,-2
2016-12-03,-37
2016-12-04,-3
2016-12-05,-1
2016-12-06,13
2016-12-07,14
2016-12-08,4
2016-12-09,67
2016-12-10,-10
2016-12-11,-18
2016-12-12,-3
2016-12-13,3
2016-12-14,2
2016-12-15,-17
2016-12-16,-20
2016-12-17,-4
2016-12-18,-33
2016-12-19,8
2016-12-20,-45
2016-12-21,-7
2016-12-22,-2
2016-12-23,13
2016-12-24,26
2016-12-25,-7
2016-12-26,-49
2016-12-27,-19
2016-12-28,-20
2016-12-29,-30
2016-12-30,2
2016-12-31,-13
2017-01-01,10
2017-01-02,-6
2017-01-03,38
2017-01-04,11
2017-01-05,-33
2017-01-06,-19
2017-01-07,-90
2017-01-08,-1
2017-01-09,4
2017-01-10,12
2017-01-11,-8
2017-01-12,-24
2017-01-13,-8
2017-01-14,-1
2017-01-15,-11
2017-01-16,-9
2017-01-17,-12
2017-01-18,8
2017-01-19,1
2017-01-20,12
2017-01-21,30
2017-01-22,32
2017-01-23,-2
2017-01-24,-4
2017-01-25,-2
2017-01-26,19
2017-01-27,17
2017-01-28,-10
2017-01-29,-24
2017-01-30,24
2017-01-31,4
2017-02-01,22
2017-02-02,27
2017-02-03,-34
2017-02-04,0
2017-02-05,20
2017-02-06,-4
2017-02-07,8
2017-02-08,30
2017-02-09,-18
2017-02-10,17
2017-02-11,36
2017-02-12,-34
2017-02-13,24
2017-02-14,15
2017-02-15,-6
2017-02-16,-9
2017-02-17,16
2017-02-18,93
2017-02-19,48
2017-02-20,-11
2017-02-21,-12
2017-02-22,-8
2017-02-23,8
2017-02-24,-11
2017-02-25,24
2017-02-26,12
2017-02-27,-32
2017-02-28,2
2017-03-01,-33
2017-03-02,3
2017-03-03,-20
2017-03-04,-38
2017-03-05,7
2017-03-06,-35
2017-03-07,37
2017-03-08,-36
2017-03-09,-9
2017-03-10,-20
2017-03-11,-1
2017-03-12,-23
2017-03-13,5
2017-03-14,41
2017-03-15,52
2017-03-16,8
2017-03-17,-47
2017-03-18,42
2017-03-19,-11
2017-03-20,33
2017-03-21,-28
2017-03-22,-39
2017-03-23,-53
2017-03-24,81
2017-03-25,-17
2017-03-26,-20
2017-03-27,33
2017-03-28,-42
2017-03-29,-1
2017-03-30,-42
2017-03-31,-12
2017-04-01,47
2017-04-02,-13
2017-04-03,18
2017-04-04,47
2017-04-05,49
2017-04-06,2
2017-04-07,-5
2017-04-08,43
2017-04-09,-3
2017-04-10,2
2017-04-11,-66
2017-04-12,-13
2017-04-13,-11
2017-04-14,-2
2017-04-15,38
2017-04-16,-29
2017-04-17,-9
2017-04-18,4
2017-04-19,-16
2017-04-20,0
2017-04-21,-21
2017-04-22,-9
2017-04-23,-17
2017-04-24,45
2017-04-25,21
2017-04-26,-11
2017-04-27,58
